t       fx       vx       fy       vy       fz       vz
0.0       0.0       0.0       0.0       0.0       0.0       0.0
0.01666666753590107       0.08247876912355423       0.0       2.78898024559021       0.0       -2.3083784580230713       0.0
0.03333333507180214       0.1262357234954834       0.0       -3.293156862258911       0.0       -5.276871204376221       0.0
0.05000000074505806       0.35946694016456604       0.0       -0.15928854048252106       0.0       -2.928555488586426       0.0
0.06666667014360428       0.01852625235915184       0.0       -1.3995693922042847       0.0       -2.472370147705078       0.0
0.0833333358168602       0.25770092010498047       0.0       -1.288279414176941       0.0       -2.7030749320983887       0.0
0.10000000149011612       -0.06772865355014801       0.0       -1.005025863647461       0.0       -2.974060297012329       0.0
0.11666666716337204       -0.15192285180091858       0.0       -0.9725484251976013       0.0       -2.914557933807373       0.0
0.13333334028720856       0.5096898078918457       0.0       -1.2490248680114746       0.0       -3.3122780323028564       0.0
0.15000000596046448       -0.13271091878414154       0.0       -1.1579653024673462       0.0       -2.7802867889404297       0.0
0.1666666716337204       0.34521040320396423       0.0       -1.4219944477081299       0.0       -4.222855091094971       0.0
0.18333333730697632       0.7623101472854614       0.0       -2.0462965965270996       0.0       -3.5482606887817383       0.0
0.20000000298023224       0.06918008625507355       0.0       -2.042259454727173       0.0       -3.1829774379730225       0.0
0.21666666865348816       0.2728661894798279       0.0       -1.535591959953308       0.0       -3.187718391418457       0.0
0.23333333432674408       -0.043446365743875504       0.0       -1.360730767250061       0.0       -2.5005576610565186       0.0
0.25       0.028599433600902557       0.0       -1.194688081741333       0.0       -3.568765878677368       0.0
0.2666666805744171       -0.09073761105537415       0.0       -1.1608924865722656       0.0       -3.378085136413574       0.0
0.28333333134651184       0.7610334753990173       0.0       -0.854776918888092       0.0       -3.6104514598846436       0.0
0.30000001192092896       0.39126765727996826       0.0       -1.8789230585098267       0.0       -2.7179977893829346       0.0
0.3166666626930237       0.3371047079563141       0.0       -2.0887956619262695       0.0       -3.2962684631347656       0.0
0.3333333432674408       0.7171788215637207       0.0       -2.0861010551452637       0.0       -3.0171327590942383       0.0
0.3499999940395355       0.8683599829673767       0.0       -2.029474973678589       0.0       -3.58430552482605       0.0
0.36666667461395264       0.644345760345459       0.0       -1.4955558776855469       0.0       -3.6664605140686035       0.0
0.38333332538604736       -0.32113176584243774       0.0       -2.253403425216675       0.0       -2.1677985191345215       0.0
0.4000000059604645       0.4871973395347595       0.0       -2.2766897678375244       0.0       -2.6713271141052246       0.0
0.4166666567325592       0.4744807183742523       0.0       -2.213447093963623       0.0       -1.2473565340042114       0.0
0.4333333373069763       -0.08901452273130417       0.0       -2.370069980621338       0.0       -2.310105085372925       0.0
0.44999998807907104       0.08275768905878067       0.0       -2.564649820327759       0.0       -2.07851505279541       0.0
0.46666666865348816       0.9135771989822388       0.0       -2.2619094848632812       0.0       -2.8305041790008545       0.0
0.4833333194255829       -0.1389968991279602       0.0       -2.1335573196411133       0.0       -2.247809410095215       0.0
0.5       -0.05683458223938942       0.0       -2.4386584758758545       0.0       -3.287386178970337       0.0
0.5166666507720947       -0.49178600311279297       0.0       -1.7419734001159668       0.0       -1.571219801902771       0.0
0.5333333611488342       0.07931841909885406       0.0       -1.7440576553344727       0.0       -2.022296667098999       0.0
0.550000011920929       -0.25867825746536255       0.0       -2.4891481399536133       0.0       -1.6214613914489746       0.0
0.5666666626930237       0.01559809036552906       0.0       -2.540919780731201       0.0       -1.9618446826934814       0.0
0.5833333134651184       -0.04625067487359047       0.0       -1.9453595876693726       0.0       -2.677992820739746       0.0
0.6000000238418579       0.2937357425689697       0.0       -2.333451271057129       0.0       -2.9305007457733154       0.0
0.6166666746139526       0.16206569969654083       0.0       -1.8136508464813232       0.0       -2.934006690979004       0.0
0.6333333253860474       0.5577440857887268       0.0       -2.454937696456909       0.0       -3.485974073410034       0.0
0.6499999761581421       0.3824692666530609       0.0       -2.3074254989624023       0.0       -2.3597664833068848       0.0
0.6666666865348816       0.11631296575069427       0.0       -2.996222734451294       0.0       -2.73233962059021       0.0
0.6833333373069763       0.21792109310626984       0.0       -2.366891860961914       0.0       -2.531209707260132       0.0
0.699999988079071       0.30645930767059326       0.0       -2.3794028759002686       0.0       -3.3250138759613037       0.0
0.7166666388511658       0.29409581422805786       0.0       -2.4854307174682617       0.0       -2.0078988075256348       0.0
0.7333333492279053       0.4536333382129669       0.0       -2.0547335147857666       0.0       -3.118993043899536       0.0
0.75       0.17895330488681793       0.0       -2.0772547721862793       0.0       -1.1089351177215576       0.0
0.7666666507720947       0.49116426706314087       0.0       -2.499070882797241       0.0       -3.6938316822052       0.0
0.7833333611488342       0.26139524579048157       0.0       -2.6698055267333984       0.0       -2.5266640186309814       0.0
0.800000011920929       0.5403275489807129       0.0       -1.7781472206115723       0.0       -3.4018547534942627       0.0
0.8166666626930237       -0.36930131912231445       0.0       -1.7690458297729492       0.0       -1.1863105297088623       0.0
0.8333333134651184       0.3211158514022827       0.0       -2.0215070247650146       0.0       -3.525343179702759       0.0
0.8500000238418579       0.8931175470352173       0.0       -2.2607548236846924       0.0       -3.1353962421417236       0.0
0.8666666746139526       -0.3061502277851105       0.0       -2.1779990196228027       0.0       -1.5518335103988647       0.0
0.8833333253860474       0.8774332404136658       0.0       -3.0155227184295654       0.0       -3.9866929054260254       0.0
0.8999999761581421       0.11528600752353668       0.0       -2.256807327270508       0.0       -1.354920744895935       0.0
0.9166666865348816       0.29002082347869873       0.0       -2.0832886695861816       0.0       -2.4462568759918213       0.0
0.9333333373069763       0.16209553182125092       0.0       -2.775029182434082       0.0       -2.0908360481262207       0.0
