t       fx       vx       fy       vy       fz       vz
0.0       -1.3792589902877808       0.0       -4.822329521179199       0.0       2.836763381958008       0.0
0.01666666753590107       -0.009287763386964798       0.0       -2.43825101852417       0.0       1.565915584564209       0.0
0.03333333507180214       -0.23184654116630554       0.0       -2.1570799350738525       0.0       0.9223230481147766       0.0
0.05000000074505806       -0.17345862090587616       0.0       -3.3693132400512695       0.0       1.360215425491333       0.0
0.06666667014360428       0.10591966658830643       0.0       -2.7270729541778564       0.0       0.6090330481529236       0.0
0.0833333358168602       0.3654085099697113       0.0       -2.1076791286468506       0.0       0.2892102599143982       0.0
0.10000000149011612       -0.24239185452461243       0.0       -2.0283522605895996       0.0       1.7916629314422607       0.0
0.11666666716337204       0.25735995173454285       0.0       -2.942742109298706       0.0       0.02047831565141678       0.0
0.13333334028720856       0.04184716194868088       0.0       -2.911661148071289       0.0       1.3226604461669922       0.0
0.15000000596046448       0.058908745646476746       0.0       -3.100090980529785       0.0       1.6107203960418701       0.0
0.1666666716337204       0.5514981746673584       0.0       -2.180509567260742       0.0       0.20458222925662994       0.0
0.18333333730697632       0.6262362599372864       0.0       -2.8174216747283936       0.0       0.22169756889343262       0.0
0.20000000298023224       0.357734739780426       0.0       -2.09108567237854       0.0       0.8745571374893188       0.0
0.21666666865348816       0.5243338942527771       0.0       -3.3984344005584717       0.0       0.5663450956344604       0.0
0.23333333432674408       0.8492076992988586       0.0       -1.9306410551071167       0.0       -0.42445945739746094       0.0
0.25       0.27609342336654663       0.0       -2.5525009632110596       0.0       0.7706965804100037       0.0
0.2666666805744171       0.7904707789421082       0.0       -3.1298482418060303       0.0       -0.21851342916488647       0.0
0.28333333134651184       1.1106435060501099       0.0       -2.767186403274536       0.0       -2.1868197917938232       0.0
0.30000001192092896       1.1938414573669434       0.0       -3.2832143306732178       0.0       -1.7374063730239868       0.0
0.3166666626930237       1.2407582998275757       0.0       -2.5037617683410645       0.0       -1.489637017250061       0.0
