t       fx       vx       fy       vy       fz       vz
0.0       5.092738628387451       0.0       0.746707022190094       0.0       -6.429099082946777       0.0
0.01666666753590107       -0.8168007731437683       0.0       8.138901710510254       0.0       -3.497619390487671       0.0
0.03333333507180214       1.8025158643722534       0.0       1.7116262912750244       0.0       -6.226556777954102       0.0
0.05000000074505806       1.5428950786590576       0.0       3.4212217330932617       0.0       -5.332822799682617       0.0
0.06666667014360428       1.4743974208831787       0.0       3.8756091594696045       0.0       -5.443864822387695       0.0
0.0833333358168602       1.1984316110610962       0.0       4.307227611541748       0.0       -4.133447647094727       0.0
0.10000000149011612       1.3588201999664307       0.0       4.435873985290527       0.0       -4.89010763168335       0.0
0.11666666716337204       1.3695268630981445       0.0       3.1585140228271484       0.0       -4.843510150909424       0.0
0.13333334028720856       1.7078272104263306       0.0       3.8946468830108643       0.0       -6.124189853668213       0.0
0.15000000596046448       1.3676156997680664       0.0       3.70987868309021       0.0       -5.322309494018555       0.0
0.1666666716337204       1.3837732076644897       0.0       3.9060988426208496       0.0       -5.023760795593262       0.0
0.18333333730697632       1.8321462869644165       0.0       4.0900797843933105       0.0       -5.673419952392578       0.0
0.20000000298023224       2.104724884033203       0.0       3.0870985984802246       0.0       -5.825868129730225       0.0
0.21666666865348816       1.439007043838501       0.0       4.3078107833862305       0.0       -4.134149074554443       0.0
0.23333333432674408       2.093398094177246       0.0       3.2856545448303223       0.0       -5.014991283416748       0.0
0.25       2.202202081680298       0.0       3.2309625148773193       0.0       -5.494252681732178       0.0
0.2666666805744171       1.701076865196228       0.0       4.661377429962158       0.0       -4.172729969024658       0.0
0.28333333134651184       2.484196424484253       0.0       4.690965175628662       0.0       -5.7536749839782715       0.0
0.30000001192092896       1.7183479070663452       0.0       4.5843892097473145       0.0       -3.754861354827881       0.0
0.3166666626930237       1.9736088514328003       0.0       4.2330498695373535       0.0       -4.526535511016846       0.0
0.3333333432674408       1.7885817289352417       0.0       4.389797687530518       0.0       -4.936086177825928       0.0
0.3499999940395355       1.7724367380142212       0.0       4.111058712005615       0.0       -5.098441123962402       0.0
0.36666667461395264       1.9794831275939941       0.0       4.051777362823486       0.0       -4.685946941375732       0.0
0.38333332538604736       2.5328359603881836       0.0       4.3788652420043945       0.0       -6.628519058227539       0.0
0.4000000059604645       2.210214376449585       0.0       4.016951084136963       0.0       -6.064149379730225       0.0
0.4166666567325592       2.0418179035186768       0.0       4.157622814178467       0.0       -5.208815097808838       0.0
0.4333333373069763       2.0620388984680176       0.0       4.20820951461792       0.0       -5.687413215637207       0.0
0.44999998807907104       1.550524353981018       0.0       3.7149453163146973       0.0       -4.213140964508057       0.0
0.46666666865348816       2.3369317054748535       0.0       3.721874237060547       0.0       -5.4076995849609375       0.0
0.4833333194255829       1.7932167053222656       0.0       4.336822986602783       0.0       -4.599230766296387       0.0
0.5       2.3675754070281982       0.0       3.3473799228668213       0.0       -5.5078606605529785       0.0
0.5166666507720947       2.0894899368286133       0.0       3.9005286693573       0.0       -4.950964450836182       0.0
0.5333333611488342       2.8174245357513428       0.0       3.829023599624634       0.0       -7.338003158569336       0.0
0.550000011920929       2.207975149154663       0.0       3.3581671714782715       0.0       -5.8792405128479       0.0
0.5666666626930237       1.8356502056121826       0.0       4.813603401184082       0.0       -4.433547496795654       0.0
0.5833333134651184       2.0290815830230713       0.0       3.837444305419922       0.0       -5.3406476974487305       0.0
0.6000000238418579       1.99502694606781       0.0       3.7098660469055176       0.0       -5.3262529373168945       0.0
0.6166666746139526       1.781463623046875       0.0       5.040892124176025       0.0       -4.5212202072143555       0.0
0.6333333253860474       1.7435933351516724       0.0       4.287041187286377       0.0       -4.491161346435547       0.0
0.6499999761581421       2.056744337081909       0.0       4.533680438995361       0.0       -5.2614054679870605       0.0
0.6666666865348816       1.7951266765594482       0.0       4.176337718963623       0.0       -3.8926963806152344       0.0
0.6833333373069763       2.0894575119018555       0.0       3.6014840602874756       0.0       -5.46852970123291       0.0
0.699999988079071       1.9625574350357056       0.0       3.7560324668884277       0.0       -4.997195720672607       0.0
0.7166666388511658       2.4077656269073486       0.0       3.8773651123046875       0.0       -6.038105487823486       0.0
0.7333333492279053       2.1134390830993652       0.0       3.843529224395752       0.0       -5.277410984039307       0.0
0.75       2.0437538623809814       0.0       3.55114483833313       0.0       -4.990429401397705       0.0
0.7666666507720947       1.8493101596832275       0.0       3.7091054916381836       0.0       -4.802256107330322       0.0
0.7833333611488342       1.755698323249817       0.0       4.122898578643799       0.0       -4.589719295501709       0.0
0.800000011920929       2.0211181640625       0.0       4.0152587890625       0.0       -5.255392074584961       0.0
0.8166666626930237       2.0437819957733154       0.0       4.676861763000488       0.0       -4.995635986328125       0.0
0.8333333134651184       2.0701897144317627       0.0       3.4140751361846924       0.0       -5.3334736824035645       0.0
0.8500000238418579       2.1711862087249756       0.0       3.7281839847564697       0.0       -5.636012554168701       0.0
0.8666666746139526       2.3022541999816895       0.0       3.592027425765991       0.0       -5.534271240234375       0.0
0.8833333253860474       1.8589459657669067       0.0       3.753840923309326       0.0       -5.13727331161499       0.0
0.8999999761581421       2.2947773933410645       0.0       4.061305522918701       0.0       -4.995453834533691       0.0
0.9166666865348816       2.0572171211242676       0.0       4.4305901527404785       0.0       -5.480583667755127       0.0
0.9333333373069763       2.0767242908477783       0.0       4.209774494171143       0.0       -5.175642013549805       0.0
0.949999988079071       2.406040668487549       0.0       4.080483913421631       0.0       -5.89319372177124       0.0
0.9666666388511658       1.8435207605361938       0.0       4.696913242340088       0.0       -4.7906999588012695       0.0
